scientific_name,iucn_status,N_individuals,annual_change,direction,support_increase
Mobula birostris,EN,191,-4.1% (-9.1–1.0),Decreasing,6.2%
Aetobatus ocellatus,EN,98,-2.7% (-8.5–3.8),Uncertain,19.4%
Pateobatis jenkinsii,EN,85,3.0% (-4.6–10.4),Uncertain,78.9%
Rhinocodon typus,EN,46,-4.6% (-12.9–4.6),Uncertain,14.6%
Carcharhinus amblyrhynchos,EN,33,2.2% (-5.3–10.6),Uncertain,71.1%
Stegostoma tigrinum,EN,25,-1.7% (-9.0–6.7),Uncertain,32.7%
Urogymnus asperrimus,EN,8,-2.4% (-12.1–7.7),Uncertain,30.6%
Urogymnus granulatus,EN,3,-6.0% (-16.1–4.3),Uncertain,11.8%
Rhynchobatus australiae,CR,4,-3.2% (-13.7–7.5),Uncertain,26.0%
Rhina ancylostomus,CR,1,-2.7% (-13.9–8.6),Uncertain,31.2%
